n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
3,3,random,peer(K=2),peer,2,0.0,20,0.7166666666666666,0.24838660679019828,13.228070175438598,8.188219957284728,23.63157894736842,51.4,0.0,1.0
3,3,random,peer(K=2),peer,2,0.05,20,0.7166666666666666,0.24838660679019825,13.228070175438598,8.188219957284726,23.63157894736842,51.4,17.65,1.0
3,3,random,peer(K=2),peer,2,0.1,20,0.7166666666666666,0.24838660679019825,13.228070175438598,8.188219957284728,23.63157894736842,51.4,16.5,1.0
3,3,random,peer(K=4),peer,4,0.0,20,0.7833333333333333,0.270909233629083,15.771929824561404,10.997503999409322,30.105263157894736,48.75,0.0,1.0
3,3,random,peer(K=4),peer,4,0.05,20,0.7833333333333333,0.270909233629083,15.771929824561404,10.997503999409323,30.105263157894736,48.75,13.95,1.0
3,3,random,peer(K=4),peer,4,0.1,20,0.7833333333333333,0.2709092336290829,15.771929824561404,10.997503999409323,30.105263157894736,48.75,15.4,1.0
3,3,random,peer(K=8),peer,8,0.0,20,0.7,0.28408054207559685,12.508771929824562,7.901295737661203,23.526315789473685,52.7,0.0,1.0
3,3,random,peer(K=8),peer,8,0.05,20,0.7,0.2840805420755968,12.508771929824562,7.901295737661204,23.526315789473685,52.7,17.15,1.0
3,3,random,peer(K=8),peer,8,0.1,20,0.7,0.2840805420755968,12.508771929824562,7.901295737661204,23.526315789473685,52.7,10.8,1.0
3,3,random,shared,shared,-1,0.0,20,0.9166666666666666,0.21288879121950172,18.2,10.0019881064652,37.55,49.25,0.0,1.0
3,3,random,shared,shared,-1,0.05,20,0.9166666666666666,0.21288879121950172,18.2,10.0019881064652,37.55,49.25,7.5,1.0
3,3,random,shared,shared,-1,0.1,20,0.9166666666666666,0.2128887912195017,18.2,10.0019881064652,37.55,49.25,11.45,1.0
3,3,symmetric,centralized,centralized,-1,0.0,20,1.0,0.0,7.666666666666667,0.0,11.0,21.0,0.0,1.0
